ID	GO_term	GO_name
PF01110	GO:0005127	ciliary neurotrophic factor receptor binding	function
PF01110	GO:0043524	negative regulation of neuron apoptotic process	process
PF00979	GO:0005198	structural molecule activity	function
PF00979	GO:0019058	viral life cycle	process
PF00638	GO:0046907	intracellular transport	process
PF01582	GO:0007165	signal transduction	process
PF13676	GO:0007165	signal transduction	process
PF00788	GO:0007165	signal transduction	process
PF00257	GO:0009415	response to water	process
PF01355	GO:0019646	aerobic electron transport chain	process
PF01355	GO:0009055	electron transfer activity	function
PF00732	GO:0050660	flavin adenine dinucleotide binding	function
PF00732	GO:0016614	oxidoreductase activity, acting on CH-OH group of donors	function
PF00209	GO:0016020	membrane	component
PF00583	GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups	function
PF13302	GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups	function
PF13508	GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups	function
PF13673	GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups	function
PF13718	GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups	function
PF01103	GO:0019867	outer membrane	component
PF02025	GO:0006955	immune response	process
PF02025	GO:0005137	interleukin-5 receptor binding	function
PF02025	GO:0005576	extracellular region	component
PF02025	GO:0008083	growth factor activity	function
PF00473	GO:0005576	extracellular region	component
PF00473	GO:0005179	hormone activity	function
PF00006	GO:0005524	ATP binding	function
PF01280	GO:0003735	structural constituent of ribosome	function
PF01280	GO:0005840	ribosome	component
PF01280	GO:0006412	translation	process
PF00620	GO:0007165	signal transduction	process
PF00548	GO:0006508	proteolysis	process
PF00548	GO:0004197	cysteine-type endopeptidase activity	function
PF01640	GO:0006508	proteolysis	process
PF01640	GO:0008234	cysteine-type peptidase activity	function
PF00242	GO:0006260	DNA replication	process
PF00242	GO:0003677	DNA binding	function
PF00242	GO:0003887	DNA-directed DNA polymerase activity	function
PF00972	GO:0005524	ATP binding	function
PF00972	GO:0003968	RNA-dependent RNA polymerase activity	function
PF00082	GO:0006508	proteolysis	process
PF00082	GO:0008236	serine-type peptidase activity	function
PF00651	GO:0005515	protein binding	function
PF00845	GO:0033644	host cell membrane	component
PF00845	GO:0003677	DNA binding	function
PF00845	GO:0046740	transport of virus in host, cell to cell	process
PF00238	GO:0003735	structural constituent of ribosome	function
PF00238	GO:0005840	ribosome	component
PF00238	GO:0006412	translation	process
PF00621	GO:0005085	guanyl-nucleotide exchange factor activity	function
PF00260	GO:0035092	sperm DNA condensation	process
PF00260	GO:0005634	nucleus	component
PF00260	GO:0003677	DNA binding	function
PF00260	GO:0000786	nucleosome	component
PF00260	GO:0007283	spermatogenesis	process
PF00514	GO:0005515	protein binding	function
PF00447	GO:0003700	DNA-binding transcription factor activity	function
PF00447	GO:0006355	regulation of DNA-templated transcription	process
PF00447	GO:0043565	sequence-specific DNA binding	function
PF01049	GO:0005509	calcium ion binding	function
PF01049	GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	process
PF00739	GO:0019079	viral genome replication	process
PF02033	GO:0006364	rRNA processing	process
PF00102	GO:0004725	protein tyrosine phosphatase activity	function
PF00102	GO:0006470	protein dephosphorylation	process
PF01112	GO:0016787	hydrolase activity	function
PF00936	GO:0031469	bacterial microcompartment	component
PF01828	GO:0004190	aspartic-type endopeptidase activity	function
PF01828	GO:0006508	proteolysis	process
PF00498	GO:0005515	protein binding	function
PF00734	GO:0005576	extracellular region	component
PF00734	GO:0005975	carbohydrate metabolic process	process
PF00734	GO:0030248	cellulose binding	function
PF00600	GO:0003723	RNA binding	function
PF01208	GO:0004853	uroporphyrinogen decarboxylase activity	function
PF01208	GO:0006779	porphyrin-containing compound biosynthetic process	process
PF00818	GO:0009279	cell outer membrane	component
PF00419	GO:0007155	cell adhesion	process
PF00419	GO:0009289	pilus	component
PF12763	GO:0005515	protein binding	function
PF01070	GO:0016491	oxidoreductase activity	function
PF00844	GO:0005198	structural molecule activity	function
PF00844	GO:0019028	viral capsid	component
PF00366	GO:0003735	structural constituent of ribosome	function
PF00366	GO:0006412	translation	process
PF00366	GO:0005840	ribosome	component
PF01194	GO:0006351	DNA-templated transcription	process
PF01194	GO:0003677	DNA binding	function
PF01194	GO:0003899	DNA-directed 5'-3' RNA polymerase activity	function
PF00564	GO:0005515	protein binding	function
PF00468	GO:0003735	structural constituent of ribosome	function
PF00468	GO:0005840	ribosome	component
PF00468	GO:0006412	translation	process
PF02038	GO:0016020	membrane	component
PF02038	GO:0099106	ion channel regulator activity	function
PF02038	GO:0043269	regulation of monoatomic ion transport	process
PF01295	GO:0006171	cAMP biosynthetic process	process
PF01295	GO:0004016	adenylate cyclase activity	function
PF02035	GO:0042381	hemolymph coagulation	process
PF02035	GO:0005576	extracellular region	component
PF00001	GO:0007186	G protein-coupled receptor signaling pathway	process
PF00001	GO:0004930	G protein-coupled receptor activity	function
PF00001	GO:0016020	membrane	component
PF01053	GO:0030170	pyridoxal phosphate binding	function
PF01053	GO:0019346	transsulfuration	process
PF05578	GO:0004252	serine-type endopeptidase activity	function
PF01418	GO:0003700	DNA-binding transcription factor activity	function
PF01418	GO:0006355	regulation of DNA-templated transcription	process
PF01200	GO:0003735	structural constituent of ribosome	function
PF01200	GO:0005840	ribosome	component
PF01200	GO:0006412	translation	process
PF01320	GO:0030153	bacteriocin immunity	process
PF01320	GO:0015643	toxic substance binding	function
PF01226	GO:0016020	membrane	component
PF01226	GO:0022857	transmembrane transporter activity	function
PF01226	GO:0055085	transmembrane transport	process
PF01024	GO:0140911	pore-forming activity	function
PF01024	GO:0016020	membrane	component
PF01024	GO:0031640	killing of cells of another organism	process
PF01024	GO:0050829	defense response to Gram-negative bacterium	process
PF00594	GO:0005576	extracellular region	component
PF00594	GO:0005509	calcium ion binding	function
PF00639	GO:0003755	peptidyl-prolyl cis-trans isomerase activity	function
PF13145	GO:0003755	peptidyl-prolyl cis-trans isomerase activity	function
PF00510	GO:0016020	membrane	component
PF00510	GO:0004129	cytochrome-c oxidase activity	function
PF01363	GO:0046872	metal ion binding	function
PF00886	GO:0003735	structural constituent of ribosome	function
PF00886	GO:0005840	ribosome	component
PF00886	GO:0006412	translation	process
PF01276	GO:0003824	catalytic activity	function
PF00591	GO:0016757	glycosyltransferase activity	function
PF00643	GO:0008270	zinc ion binding	function
PF02068	GO:0008270	zinc ion binding	function
PF03510	GO:0004197	cysteine-type endopeptidase activity	function
PF03510	GO:0006508	proteolysis	process
PF01085	GO:0007267	cell-cell signaling	process
PF01055	GO:0005975	carbohydrate metabolic process	process
PF01055	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	function
PF01082	GO:0005507	copper ion binding	function
PF01082	GO:0016715	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen	function
PF01082	GO:0004497	monooxygenase activity	function
PF00157	GO:0006355	regulation of DNA-templated transcription	process
PF00157	GO:0003700	DNA-binding transcription factor activity	function
PF00517	GO:0005198	structural molecule activity	function
PF00176	GO:0005524	ATP binding	function
PF00176	GO:0140658	ATP-dependent chromatin remodeler activity	function
PF02145	GO:0005096	GTPase activator activity	function
PF02145	GO:0051056	regulation of small GTPase mediated signal transduction	process
PF02015	GO:0005975	carbohydrate metabolic process	process
PF02015	GO:0008810	cellulase activity	function
PF19581	GO:0046677	response to antibiotic	process
PF00782	GO:0008138	protein tyrosine/serine/threonine phosphatase activity	function
PF00782	GO:0016311	dephosphorylation	process
PF02117	GO:0016020	membrane	component
PF02117	GO:0007606	sensory perception of chemical stimulus	process
PF02117	GO:0004930	G protein-coupled receptor activity	function
PF01439	GO:0046872	metal ion binding	function
PF00695	GO:0016032	viral process	process
PF00472	GO:0003747	translation release factor activity	function
PF00472	GO:0006415	translational termination	process
PF00969	GO:0006955	immune response	process
PF00969	GO:0042613	MHC class II protein complex	component
PF00969	GO:0016020	membrane	component
PF00969	GO:0019882	antigen processing and presentation	process
PF00904	GO:0031424	keratinization	process
PF00904	GO:0005737	cytoplasm	component
PF02985	GO:0005515	protein binding	function
PF00268	GO:0009263	deoxyribonucleotide biosynthetic process	process
PF02116	GO:0007186	G protein-coupled receptor signaling pathway	process
PF02116	GO:0004932	mating-type factor pheromone receptor activity	function
PF02116	GO:0016020	membrane	component
PF00862	GO:0005985	sucrose metabolic process	process
PF00862	GO:0016157	sucrose synthase activity	function
PF02060	GO:0016020	membrane	component
PF02060	GO:0006811	monoatomic ion transport	process
PF02060	GO:0005249	voltage-gated potassium channel activity	function
PF02122	GO:0016032	viral process	process
PF02122	GO:0004252	serine-type endopeptidase activity	function
PF02122	GO:0016020	membrane	component
PF02129	GO:0016787	hydrolase activity	function
PF00866	GO:0006725	cellular aromatic compound metabolic process	process
PF00142	GO:0005524	ATP binding	function
PF00142	GO:0016491	oxidoreductase activity	function
PF00309	GO:0016987	sigma factor activity	function
PF00309	GO:0001216	DNA-binding transcription activator activity	function
PF01742	GO:0006508	proteolysis	process
PF01742	GO:0008270	zinc ion binding	function
PF01742	GO:0004222	metalloendopeptidase activity	function
PF01742	GO:0046929	negative regulation of neurotransmitter secretion	process
PF02112	GO:0006198	cAMP catabolic process	process
PF02112	GO:0004115	3',5'-cyclic-AMP phosphodiesterase activity	function
PF01430	GO:0006457	protein folding	process
PF01430	GO:0005737	cytoplasm	component
PF01430	GO:0051082	unfolded protein binding	function
PF01374	GO:0005975	carbohydrate metabolic process	process
PF01374	GO:0005576	extracellular region	component
PF01374	GO:0016977	chitosanase activity	function
PF00287	GO:0006814	sodium ion transport	process
PF00287	GO:0006813	potassium ion transport	process
PF00287	GO:0005890	sodium:potassium-exchanging ATPase complex	component
PF01350	GO:0016070	RNA metabolic process	process
PF01350	GO:0016032	viral process	process
PF01350	GO:0044423	virion component	component
PF02115	GO:0007266	Rho protein signal transduction	process
PF02115	GO:0005515	protein binding	function
PF02115	GO:0005094	Rho GDP-dissociation inhibitor activity	function
PF02115	GO:0005737	cytoplasm	component
PF01150	GO:0016787	hydrolase activity	function
PF00426	GO:0019028	viral capsid	component
PF00426	GO:0019058	viral life cycle	process
PF02110	GO:0009228	thiamine biosynthetic process	process
PF02110	GO:0000287	magnesium ion binding	function
PF02110	GO:0005524	ATP binding	function
PF02110	GO:0004417	hydroxyethylthiazole kinase activity	function
PF00178	GO:0043565	sequence-specific DNA binding	function
PF00178	GO:0003700	DNA-binding transcription factor activity	function
PF00178	GO:0006355	regulation of DNA-templated transcription	process
PF00399	GO:0005199	structural constituent of cell wall	function
PF00399	GO:0005618	cell wall	component
PF00926	GO:0009231	riboflavin biosynthetic process	process
PF00926	GO:0008686	3,4-dihydroxy-2-butanone-4-phosphate synthase activity	function
PF00436	GO:0003697	single-stranded DNA binding	function
PF00230	GO:0016020	membrane	component
PF00230	GO:0015267	channel activity	function
PF00230	GO:0055085	transmembrane transport	process
PF10584	GO:0019773	proteasome core complex, alpha-subunit complex	component
PF10584	GO:0006511	ubiquitin-dependent protein catabolic process	process
PF00511	GO:0003700	DNA-binding transcription factor activity	function
PF00511	GO:0042025	host cell nucleus	component
PF00511	GO:0006355	regulation of DNA-templated transcription	process
PF00511	GO:0003677	DNA binding	function
PF00511	GO:0006275	regulation of DNA replication	process
PF00713	GO:0004867	serine-type endopeptidase inhibitor activity	function
PF00488	GO:0006298	mismatch repair	process
PF00488	GO:0030983	mismatched DNA binding	function
PF00488	GO:0005524	ATP binding	function
PF00569	GO:0008270	zinc ion binding	function
PF00827	GO:0005840	ribosome	component
PF00827	GO:0006412	translation	process
PF00827	GO:0003735	structural constituent of ribosome	function
PF00507	GO:0008137	NADH dehydrogenase (ubiquinone) activity	function
PF00633	GO:0003677	DNA binding	function
PF01264	GO:0009073	aromatic amino acid family biosynthetic process	process
PF01264	GO:0004107	chorismate synthase activity	function
PF01196	GO:0005840	ribosome	component
PF01196	GO:0006412	translation	process
PF01196	GO:0003735	structural constituent of ribosome	function
PF01066	GO:0016780	phosphotransferase activity, for other substituted phosphate groups	function
PF01066	GO:0016020	membrane	component
PF01066	GO:0008654	phospholipid biosynthetic process	process
PF01585	GO:0003676	nucleic acid binding	function
PF00143	GO:0005126	cytokine receptor binding	function
PF00143	GO:0005576	extracellular region	component
PF00143	GO:0006952	defense response	process
PF01064	GO:0016020	membrane	component
PF01064	GO:0004675	transmembrane receptor protein serine/threonine kinase activity	function
PF00444	GO:0006412	translation	process
PF00444	GO:0005840	ribosome	component
PF00444	GO:0003735	structural constituent of ribosome	function
PF00559	GO:0019058	viral life cycle	process
PF00236	GO:0005576	extracellular region	component
PF00236	GO:0005179	hormone activity	function
PF00878	GO:0005537	mannose binding	function
PF00878	GO:0038023	signaling receptor activity	function
PF00878	GO:0007041	lysosomal transport	process
PF00124	GO:0045156	electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity	function
PF00124	GO:0009772	photosynthetic electron transport in photosystem II	process
PF00124	GO:0019684	photosynthesis, light reaction	process
PF13404	GO:0043565	sequence-specific DNA binding	function
PF01002	GO:0044423	virion component	component
PF01002	GO:0004252	serine-type endopeptidase activity	function
PF00531	GO:0007165	signal transduction	process
PF00531	GO:0005515	protein binding	function
PF00809	GO:0042558	pteridine-containing compound metabolic process	process
PF00332	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	function
PF00332	GO:0005975	carbohydrate metabolic process	process
PF00841	GO:0051276	chromosome organization	process
PF00841	GO:0003677	DNA binding	function
PF00841	GO:0007286	spermatid development	process
PF01389	GO:0016020	membrane	component
PF01389	GO:0009279	cell outer membrane	component
PF01366	GO:0019073	viral DNA genome packaging	process
PF00076	GO:0003723	RNA binding	function
PF16367	GO:0003723	RNA binding	function
PF01450	GO:0009082	branched-chain amino acid biosynthetic process	process
PF01450	GO:0004455	ketol-acid reductoisomerase activity	function
PF01158	GO:0003735	structural constituent of ribosome	function
PF01158	GO:0005840	ribosome	component
PF01158	GO:0006412	translation	process
PF00148	GO:0016491	oxidoreductase activity	function
PF01265	GO:0005739	mitochondrion	component
PF01265	GO:0004408	holocytochrome-c synthase activity	function
PF01229	GO:0005975	carbohydrate metabolic process	process
PF01229	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	function
PF00528	GO:0016020	membrane	component
PF00528	GO:0055085	transmembrane transport	process
PF02069	GO:0046872	metal ion binding	function
PF01032	GO:0016020	membrane	component
PF01032	GO:0022857	transmembrane transporter activity	function
PF01078	GO:0005524	ATP binding	function
PF00392	GO:0006355	regulation of DNA-templated transcription	process
PF00392	GO:0003700	DNA-binding transcription factor activity	function
PF01051	GO:0003887	DNA-directed DNA polymerase activity	function
PF01051	GO:0006270	DNA replication initiation	process
PF02041	GO:0010011	auxin binding	function
PF02107	GO:0071973	bacterial-type flagellum-dependent cell motility	process
PF02107	GO:0003774	cytoskeletal motor activity	function
PF02107	GO:0009427	bacterial-type flagellum basal body, distal rod, L ring	component
PF01250	GO:0005840	ribosome	component
PF01250	GO:0006412	translation	process
PF01250	GO:0019843	rRNA binding	function
PF01250	GO:0003735	structural constituent of ribosome	function
PF00123	GO:0005179	hormone activity	function
PF00123	GO:0005576	extracellular region	component
PF01118	GO:0016620	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	function
PF01118	GO:0051287	NAD binding	function
PF01040	GO:0016765	transferase activity, transferring alkyl or aryl (other than methyl) groups	function
PF01040	GO:0016020	membrane	component
PF00193	GO:0007155	cell adhesion	process
PF00193	GO:0005540	hyaluronic acid binding	function
PF01534	GO:0007166	cell surface receptor signaling pathway	process
PF01534	GO:0016020	membrane	component
PF00637	GO:0016192	vesicle-mediated transport	process
PF00637	GO:0006886	intracellular protein transport	process
PF01669	GO:0019911	structural constituent of myelin sheath	function
PF01241	GO:0009522	photosystem I	component
PF01241	GO:0016020	membrane	component
PF01241	GO:0015979	photosynthesis	process
PF01288	GO:0009396	folic acid-containing compound biosynthetic process	process
PF01288	GO:0003848	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity	function
PF00376	GO:0006355	regulation of DNA-templated transcription	process
PF00376	GO:0003677	DNA binding	function
PF13411	GO:0006355	regulation of DNA-templated transcription	process
PF13411	GO:0003677	DNA binding	function
PF00935	GO:0003735	structural constituent of ribosome	function
PF00935	GO:0005840	ribosome	component
PF00935	GO:0006412	translation	process
PF01251	GO:0003735	structural constituent of ribosome	function
PF01251	GO:0005840	ribosome	component
PF01251	GO:0006412	translation	process
PF01398	GO:0005515	protein binding	function
PF01398	GO:0008233	peptidase activity	function
PF01398	GO:0008237	metallopeptidase activity	function
PF02011	GO:0008810	cellulase activity	function
PF02011	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	function
PF02011	GO:0030245	cellulose catabolic process	process
PF01268	GO:0005524	ATP binding	function
PF01268	GO:0004329	formate-tetrahydrofolate ligase activity	function
PF00119	GO:0015986	proton motive force-driven ATP synthesis	process
PF00119	GO:0045263	proton-transporting ATP synthase complex, coupling factor F(o)	component
PF00119	GO:0015078	proton transmembrane transporter activity	function
PF00632	GO:0004842	ubiquitin-protein transferase activity	function
PF00642	GO:0046872	metal ion binding	function
PF00983	GO:0019028	viral capsid	component
PF00983	GO:0005198	structural molecule activity	function
PF01306	GO:0016020	membrane	component
PF01306	GO:0008643	carbohydrate transport	process
PF01306	GO:0005351	carbohydrate:proton symporter activity	function
PF01166	GO:0006357	regulation of transcription by RNA polymerase II	process
PF00920	GO:0016836	hydro-lyase activity	function
PF00887	GO:0000062	fatty-acyl-CoA binding	function
PF01321	GO:0016787	hydrolase activity	function
PF02160	GO:0004190	aspartic-type endopeptidase activity	function
PF02160	GO:0006508	proteolysis	process
PF00312	GO:0005840	ribosome	component
PF00312	GO:0006412	translation	process
PF00312	GO:0003735	structural constituent of ribosome	function
PF00610	GO:0035556	intracellular signal transduction	process
PF01667	GO:0003735	structural constituent of ribosome	function
PF01667	GO:0006412	translation	process
PF01667	GO:0005840	ribosome	component
PF03836	GO:0005515	protein binding	function
PF00297	GO:0005840	ribosome	component
PF00297	GO:0006412	translation	process
PF00297	GO:0003735	structural constituent of ribosome	function
PF01074	GO:0006013	mannose metabolic process	process
PF01074	GO:0004559	alpha-mannosidase activity	function
PF00803	GO:0046740	transport of virus in host, cell to cell	process
PF01308	GO:0009279	cell outer membrane	component
PF01308	GO:0005198	structural molecule activity	function
PF01308	GO:0015288	porin activity	function
PF00910	GO:0003723	RNA binding	function
PF00910	GO:0003724	RNA helicase activity	function
PF02118	GO:0004888	transmembrane signaling receptor activity	function
PF02118	GO:0016020	membrane	component
PF02118	GO:0007606	sensory perception of chemical stimulus	process
PF01679	GO:0016020	membrane	component
PF00892	GO:0016020	membrane	component
PF00424	GO:0006355	regulation of DNA-templated transcription	process
PF00424	GO:0042025	host cell nucleus	component
PF00424	GO:0003700	DNA-binding transcription factor activity	function
PF00240	GO:0005515	protein binding	function
PF14560	GO:0005515	protein binding	function
PF00775	GO:0003824	catalytic activity	function
PF00775	GO:0008199	ferric iron binding	function
PF00775	GO:0006725	cellular aromatic compound metabolic process	process
PF00410	GO:0006412	translation	process
PF00410	GO:0005840	ribosome	component
PF00410	GO:0003735	structural constituent of ribosome	function
PF01256	GO:0016836	hydro-lyase activity	function
PF00747	GO:0003697	single-stranded DNA binding	function
PF00747	GO:0006260	DNA replication	process
PF00747	GO:0042025	host cell nucleus	component
PF00741	GO:0005198	structural molecule activity	function
PF00741	GO:0012506	vesicle membrane	component
PF01434	GO:0006508	proteolysis	process
PF01434	GO:0004222	metalloendopeptidase activity	function
PF01434	GO:0005524	ATP binding	function
PF01434	GO:0004176	ATP-dependent peptidase activity	function
PF00837	GO:0004800	thyroxine 5'-deiodinase activity	function
PF01310	GO:0031423	hexon binding	function
PF01310	GO:0019028	viral capsid	component
PF00859	GO:0003700	DNA-binding transcription factor activity	function
PF00859	GO:0005634	nucleus	component
PF00859	GO:0006355	regulation of DNA-templated transcription	process
PF01237	GO:0008289	lipid binding	function
PF01008	GO:0044237	cellular metabolic process	process
PF00121	GO:0004807	triose-phosphate isomerase activity	function
PF09048	GO:0003677	DNA binding	function
PF09048	GO:0006355	regulation of DNA-templated transcription	process
PF01407	GO:0016032	viral process	process
PF00718	GO:0019028	viral capsid	component
PF00718	GO:0005198	structural molecule activity	function
PF00212	GO:0005576	extracellular region	component
PF00212	GO:0005179	hormone activity	function
PF00423	GO:0019031	viral envelope	component
PF00423	GO:0046789	host cell surface receptor binding	function
PF00423	GO:0019058	viral life cycle	process
PF02113	GO:0006508	proteolysis	process
PF02113	GO:0004185	serine-type carboxypeptidase activity	function
PF00112	GO:0008234	cysteine-type peptidase activity	function
PF00112	GO:0006508	proteolysis	process
PF01750	GO:0008233	peptidase activity	function
PF01750	GO:0008047	enzyme activator activity	function
PF01339	GO:0000156	phosphorelay response regulator activity	function
PF01339	GO:0008984	protein-glutamate methylesterase activity	function
PF01339	GO:0000160	phosphorelay signal transduction system	process
PF01339	GO:0006935	chemotaxis	process
PF01339	GO:0005737	cytoplasm	component
PF01083	GO:0016787	hydrolase activity	function
PF01254	GO:0003677	DNA binding	function
PF01254	GO:0005634	nucleus	component
PF01254	GO:0007283	spermatogenesis	process
PF01254	GO:0000786	nucleosome	component
PF00320	GO:0043565	sequence-specific DNA binding	function
PF00320	GO:0006355	regulation of DNA-templated transcription	process
PF00921	GO:0016020	membrane	component
PF01408	GO:0000166	nucleotide binding	function
PF05001	GO:0006366	transcription by RNA polymerase II	process
PF05001	GO:0003677	DNA binding	function
PF00016	GO:0016984	ribulose-bisphosphate carboxylase activity	function
PF00016	GO:0000287	magnesium ion binding	function
PF02106	GO:0036297	interstrand cross-link repair	process
PF02106	GO:0043240	Fanconi anaemia nuclear complex	component
PF01155	GO:0016151	nickel cation binding	function
PF01155	GO:0051604	protein maturation	process
PF01269	GO:0006364	rRNA processing	process
PF01269	GO:0003723	RNA binding	function
PF01269	GO:0008168	methyltransferase activity	function
PF01829	GO:0006508	proteolysis	process
PF01829	GO:0004190	aspartic-type endopeptidase activity	function
PF01365	GO:0016020	membrane	component
PF01365	GO:0005262	calcium channel activity	function
PF01365	GO:0070588	calcium ion transmembrane transport	process
PF01127	GO:0016627	oxidoreductase activity, acting on the CH-CH group of donors	function
PF01214	GO:0019887	protein kinase regulator activity	function
PF01214	GO:0005956	protein kinase CK2 complex	component
PF02395	GO:0006508	proteolysis	process
PF02395	GO:0004252	serine-type endopeptidase activity	function
PF00213	GO:0015986	proton motive force-driven ATP synthesis	process
PF00213	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism	function
PF01225	GO:0009058	biosynthetic process	process
PF01225	GO:0016881	acid-amino acid ligase activity	function
PF02053	GO:0008270	zinc ion binding	function
PF00953	GO:0016020	membrane	component
PF00953	GO:0016780	phosphotransferase activity, for other substituted phosphate groups	function
PF00069	GO:0004672	protein kinase activity	function
PF00069	GO:0006468	protein phosphorylation	process
PF00069	GO:0005524	ATP binding	function
PF00607	GO:0016032	viral process	process
PF00623	GO:0003677	DNA binding	function
PF00623	GO:0003899	DNA-directed 5'-3' RNA polymerase activity	function
